location,source,target
lib/components/header_menu/header_menu_component.js:45,ABOUT THE APP,ABOUT THE APP
lib/components/about/about_component.js:19 lib/components/header_menu/header_menu_component.js:50,About Arrival Advisor,Tungkol sa Arrival Advisor
lib/components/services/service_list_item_component.js:27,Address:,Address:
lib/components/services/service_list_error_component.js:33,An error has occured.,An error has occured.
lib/components/recommended_topics/call_to_action.js:46,Answer a few questions about your situation to get personalized recommendations of topics and services to help you settle in British Columbia.,Sagutin ang ilan sa mga katanungan tungkol sa sitwasyon mo para makakuha ng personalisadong mga rekomendasyon ng mga paksa at serbisyo upang tulungan kang manirahan sa British Columbia.
lib/components/recommended_topics/call_to_action.js:55,Answer questions,Sagutin ang mga tanong
lib/components/disclaimer/disclaimer_component.js:18,"Arrival Advisor contains information from the BC Government’s Newcomer’s Guide, available at: {welcomeBCLink}, and the BC211 database of service providers, available at: {bc211Link}.","Ang Arrival Advisor ay naglalaman ng impormasyon mula sa Gabay ng Bagong Dating sa Gobyerno ng BC, na makukuha sa: www.welcomebc.ca, at ang BC211 database ng mga tagapaglaan ng serbisyo, na makukuha sa: www.bc211.ca."
lib/components/about/about_component.js:22,"Arrival Advisor is a free, multilingual, mobile app that helps immigrants and refugees in British Columbia, Canada find information and services to navigate their settlement journey. The app is currently available in English, French (Canadian), and Arabic. It will soon be available in Chinese Simplified, Chinese Traditional, Korean, Punjabi, and Tagalog.","Ang Arrival Advisor ay isang libre, maramihang wikang mobile app na tumutulong sa mga imigrante at takas sa British Columbia, Canada na humanap ng impormasyon at mga serbisyo upang galugarin ang kanilang byahe sa paninirahan. Ang app ay kasalukuyang magagamit sa English, Pranses (Canadian), at Arabe. Malapit na rin itong magamit sa Pinasimpleng Chinese, Tradisyonal na Chinese, Koreano, Punjabi, at Tagalog."
lib/components/disclaimer/disclaimer_component.js:35,"Arrival Advisor respects and maintains the privacy and anonymity of its users. Users do not need to provide personal information in order to use the app. The questionnaire is designed to assist in personalizing services and resources required by the user, and answers are only saved to enhance the usability of the app over time. Users of the Arrival Advisor app do so at their own discretion. The answers you provide will be used for the operation of this tool to provide you with guidance on resources and services that can help you adjust to life in Canada. Users cannot be identified by their answers to the questionnaire. The information is not used by Immigration, Refugees and Citizenship Canada for any other purpose and is not used for any immigration decision making.","Ang Arrival Advisor ay gumagalang at nagpapanatili ng pagkapribado at pagka-anonimo ng mga user nito. Hindi na kailangang magbigay ng mga user ng personal na impormasyon upang magamit ang app. Ang kuwestiyunaryo ay dinisenyo upang makatulong sa pagpersonalisado ng mga serbisyo at mga mapagkukunang kinakailangan ng user, at ang mga sagot ay sini-save lamang upang paghusayin ang paggamit ng app sa paglipas ng panahon. Ginagawa iyon ng mga user ng Arrival Advisor sa kanilang sariling pagpapasya. Ang mga sagot na iyong ibinigay ay gagamitin para sa operasyon ng tool na ito upang magbigay sa iyo ng gabay sa mga mapagkukunan at serbsiyo na makatutulong sa iyo na makaangkop sa pamumuhay sa Canada. Ang mga user ay hindi matutukoy sa pamamagitan ng kanilang mga sagot sa kuwestiyunaryo. Ang impormasyon ay hindi ginagamit ng Imigrasyon, Immigration, Refugees and Citizenship Canada para sa anumang layunin at hindi ginagamit sa anumang paggawa ng desisyon sa imigrasyon."
lib/components/questionnaire/questionnaire_component.js:110,Back,Bumalik
lib/components/recommended_topics/call_to_action.js:99,"Based on your answers, we recommend these topics for you:","Batay sa mga sagot, inirerekomenda namin ang mga paksang ito para sa iyo:"
lib/components/notifications/notification_content.js:7,Bookmark added,Dinagdag ang bookmark
lib/components/notifications/notification_content.js:12,Bookmark removed,Tinanggal ang bookmark
lib/components/help/help_component.js:33,Contact Arrival Advisor team,Kontakin ang Arrival Advisor team
lib/components/about/about_component.js:56,Copyright 2018 Province of British Columbia. All rights reserved.,Copyright 2018 Province of British Columbia. Ang lahat ng karapatan ay reserbado.
lib/components/welcome/welcome_component.js:49,Created by,Nilikha ng
lib/components/help/help_component.js:87,Delete all user data,Burahin ang lahat ng user data
lib/components/disclaimer/disclaimer_component.js:15 lib/components/header_menu/header_menu_component.js:51,Disclaimer,Pagtatatuwa
lib/components/questionnaire/questionnaire_component.js:117,Done,Tapos na
lib/components/explore/explore_detail_component.js:19,EXPLORE TOPICS,GALUGARIN ANG MGA PAKSA
lib/components/services/service_list_item_component.js:55,Email:,Email:
lib/components/services/service_list_component.js:53,FIND A SERVICE NEAR YOU,HUMANAP NG SERBISYONG MALAPIT SA IYO
lib/components/help/help_component.js:59,FOR ADDITIONAL ASSISTANCE,PARA SA KARAGDAGANG TULONG
lib/components/services/service_list_error_component.js:28,"Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy"".","Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy""."
lib/components/help/help_component.js:71,Find a settlement agency near me,Humanap ng ahensiya ng paninirahang malapit sa akin
lib/components/topics/task_detail_content_component.js:103,Find related services near me,Humanap ng mga kaugnay na serbisyo malapit sa akin
lib/components/about/about_component.js:30,"From finding a job to learning English, accessing health care, and more, Arrival Advisor has everything you need to get started in your new community. Explore topics and services without ever needing to create an account. Access important information no matter where you are: the newcomer topics provided by Arrival Advisor are saved to your phone so you can view them, even without internet. You can fill out some questions to get personalized recommendations of topics and services to settle in British Columbia. Arrival Advisor is anonymous and your answers are only used to operate the app's recommendations. We never save or share your personal data with funders or any third parties.","Mula sa paghahanap ng trabaho hanggang sa pag-aaral ng English, pagkuha ng health care, at higit pa, nasa Arrival Advisor ang lahat ng kailangan mo para magsimula sa bagong komunidad mo. Galugarin ang mga paksa at mga serbisyo nang hindi kinakailangang gumawa ng account. I-access ang mahalagang impormasyon nasaan ka man"" Ang mga paksa ng bagong dating na ibinigay ng Arrival Advisor ay naka-save sa telepono para makita mo sila, kahit wala kang internet. Maaari mong punan ang ilan sa mga tanong upang maging personalisado ang mga rekomendasyon ng mga paksa at mga serbisyo upang manirahan sa British Columbia. Hindi nakikilala ang Arrival Advisor at ang mga sagot mo ay gagamitin lamang upang paganahin ang mga rekomendasyon ng app. Sa tuwing sini-save namin o ibinabahagi ang personal na data mo sa mga tagapagpondo o sa sinumang ikatlong partido."
lib/components/recommended_topics/call_to_action.js:33,GETTING STARTED,PAGSISIMULA
lib/components/recommended_topics/call_to_action.js:36,Get information based on your needs,Makakuha ng impormasyon batay sa pangangailangan mo
lib/components/recommended_topics/call_to_action.js:74,Go back to questions,Bumalik sa mga tanong
lib/components/help/help_component.js:46,Help & Support,Tulong at Suporta
lib/components/help/help_component.js:49,"If you are having difficulty with settlement in Canada, we suggest getting in touch with a settlement worker.","Kung nahihirapan ka sa paninirahan sa Canada, minumungkahi namin na makipag-ugnayan sa worker ng paninirahan."
lib/components/about/about_component.js:54,Information in this app is provided by the,Ang impormasyon sa app na ito ay inilalaan ng {welcomeBCLink} Copyright 2018 Province of British Columbia. Ang lahat ng karapatan ay reserbado.
lib/components/help/help_component.js:24,Information on BC211,Impormasyon sa BC211
lib/components/help/help_component.js:19,Information on HealthLinkBC (8-1-1),Impormasyon sa HealthLinkBC (8-1-1)
lib/components/help/help_component.js:14,Information on emergency services (9-1-1),Impormasyon sa serbisyong pang-emergency (9-1-1)
lib/components/help/help_component.js:29,Information on helplines,Impormasyon sa mga helpline
lib/components/explore/explore_all_component.js:11,Learn all about B.C.,Alamin lahat ang tungkol sa B.C.
