"location","source","target"
"lib/components/header_menu/header_menu_component.js:45","ABOUT THE APP",""
"lib/components/about/about_component.js:19 lib/components/header_menu/header_menu_component.js:50","About Arrival Advisor",""
"lib/components/services/service_list_item_component.js:27","Address:",""
"lib/components/services/service_list_error_component.js:33","An error has occured.",""
"lib/components/recommended_topics/call_to_action.js:46","Answer a few questions about your situation to get personalized recommendations of topics and services to help you settle in British Columbia.",""
"lib/components/recommended_topics/call_to_action.js:55","Answer questions",""
"lib/components/disclaimer/disclaimer_component.js:18","Arrival Advisor contains information from the BC Government’s Newcomer’s Guide, available at: {welcomeBCLink}, and the BC211 database of service providers, available at: {bc211Link}.",""
"lib/components/about/about_component.js:22","Arrival Advisor is a free, multilingual, mobile app that helps immigrants and refugees in British Columbia, Canada find information and services to navigate their settlement journey. The app is currently available in English, French (Canadian), and Arabic. It will soon be available in Chinese Simplified, Chinese Traditional, Korean, Punjabi, and Tagalog.",""
"lib/components/disclaimer/disclaimer_component.js:35","Arrival Advisor respects and maintains the privacy and anonymity of its users. Users do not need to provide personal information in order to use the app. The questionnaire is designed to assist in personalizing services and resources required by the user, and answers are only saved to enhance the usability of the app over time. Users of the Arrival Advisor app do so at their own discretion. The answers you provide will be used for the operation of this tool to provide you with guidance on resources and services that can help you adjust to life in Canada. Users cannot be identified by their answers to the questionnaire. The information is not used by Immigration, Refugees and Citizenship Canada for any other purpose and is not used for any immigration decision making.",""
"lib/components/questionnaire/questionnaire_component.js:110","Back",""
"lib/components/recommended_topics/call_to_action.js:99","Based on your answers, we recommend these topics for you:",""
"lib/components/notifications/notification_content.js:7","Bookmark added",""
"lib/components/notifications/notification_content.js:12","Bookmark removed",""
"lib/components/help/help_component.js:33","Contact Arrival Advisor team",""
"lib/components/about/about_component.js:56","Copyright 2018 Province of British Columbia. All rights reserved.",""
"lib/components/welcome/welcome_component.js:49","Created by",""
"lib/components/help/help_component.js:87","Delete all user data",""
"lib/components/disclaimer/disclaimer_component.js:15 lib/components/header_menu/header_menu_component.js:51","Disclaimer",""
"lib/components/questionnaire/questionnaire_component.js:117","Done",""
"lib/components/explore/explore_detail_component.js:19","EXPLORE TOPICS",""
"lib/components/services/service_list_item_component.js:55","Email:",""
"lib/components/services/service_list_component.js:53","FIND A SERVICE NEAR YOU",""
"lib/components/help/help_component.js:59","FOR ADDITIONAL ASSISTANCE",""
"lib/components/services/service_list_error_component.js:28","Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy"".",""
"lib/components/help/help_component.js:71","Find a settlement agency near me",""
"lib/components/tasks/task_detail_content_component.js:103","Find related services near me",""
"lib/components/about/about_component.js:30","From finding a job to learning English, accessing health care, and more, Arrival Advisor has everything you need to get started in your new community. Explore topics and services without ever needing to create an account. Access important information no matter where you are: the newcomer topics provided by Arrival Advisor are saved to your phone so you can view them, even without internet. You can fill out some questions to get personalized recommendations of topics and services to settle in British Columbia. Arrival Advisor is anonymous and your answers are only used to operate the app's recommendations. We never save or share your personal data with funders or any third parties.",""
"lib/components/recommended_topics/call_to_action.js:33","GETTING STARTED",""
"lib/components/recommended_topics/call_to_action.js:36","Get information based on your needs",""
"lib/components/recommended_topics/call_to_action.js:74","Go back to questions",""
"lib/components/help/help_component.js:46","Help & Support",""
"lib/components/help/help_component.js:49","If you are having difficulty with settlement in Canada, we suggest getting in touch with a settlement worker.",""
"lib/components/about/about_component.js:54","Information in this app is provided by the",""
"lib/components/help/help_component.js:24","Information on BC211",""
"lib/components/help/help_component.js:19","Information on HealthLinkBC (8-1-1)",""
"lib/components/help/help_component.js:14","Information on emergency services (9-1-1)",""
"lib/components/help/help_component.js:29","Information on helplines",""
