"location","source","target"
"lib/components/header_menu/header_menu_component.js:45","ABOUT THE APP","ਐਪ ਬਾਰੇ"
"lib/components/about/about_component.js:19 lib/components/header_menu/header_menu_component.js:50","About Arrival Advisor","Arrival Advisor ਬਾਰੇ"
"lib/components/services/service_list_item_component.js:27","Address:","ਪਤਾ:"
"lib/components/services/service_list_error_component.js:33","An error has occured.","An error has occured."
"lib/components/recommended_topics/call_to_action.js:46","Answer a few questions about your situation to get personalized recommendations of topics and services to help you settle in British Columbia.","ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆਂ ਵਿੱਚ ਤੁਹਾਨੂੰ ਸੈਟਲ ਹੋਣ ਲਈ ਮਦਦ ਕਰਨ ਵਾਸਤੇ ਵਿਸ਼ਿਆਂ ਤੇ ਸੇਵਾਵਾਂ ਦੀ ਤੁਹਾਡੇ ਲਈ ਸਿਫਾਰਸ਼ਾਂ ਲੈਣ ਲਈ ਆਪਣੇ ਹਾਲਤ ਬਾਰੇ ਕੁਝ ਸਵਾਲਾਂ ਦੇ ਜਵਾਬ।"
"lib/components/recommended_topics/call_to_action.js:55","Answer questions","ਸਵਾਲਾਂ ਦੇ ਜਵਾਬ"
"lib/components/disclaimer/disclaimer_component.js:18","Arrival Advisor contains information from the BC Government’s Newcomer’s Guide, available at:","TODO 2"
"lib/components/about/about_component.js:22","Arrival Advisor is a free, multilingual, mobile app that helps immigrants and refugees in British Columbia, Canada find information and services to navigate their settlement journey. The app is currently available in English, French (Canadian), and Arabic. It will soon be available in Chinese Simplified, Chinese Traditional, Korean, Punjabi, and Tagalog.","Arrival Advisor ਮੁਫ਼ਤ, ਬਹੁ-ਭਾਸਾਈ ਮੋਬਾਈਲ ਐਪ ਹੈ, ਜੋ ਕਿ ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ, ਕੈਨੇਡਾ ਦੇ ਆਵਾਸੀਆਂ ਅਤੇ ਰਿਫਿਊਜੀਆਂ ਨੂੰ ਉਹਨਾਂ ਦੀ ਸੈਟਲਮੈਂਟ ਯਾਤਰਾ ਲਈ ਜਾਣਕਾਰੀ ਅਤੇ ਸੇਵਾਵਾਂ ਲੱਭਣ ਲਈ ਮਦਦ ਕਰਦੀ ਹੈ। ਇਹ ਐਪ ਇਸ ਵੇਲੇ ਅੰਗਰੇਜੀ, ਫਰੈਂਚ (ਕੈਨੇਡਾ) ਅਤੇ ਅਰਬੀ ਵਿੱਚ ਹੈ। ਇਹ ਛੇਤੀ ਹੀ ਚੀਨੀ ਸਰਲ, ਚੀਨੀ ਰਿਵਾਇਤੀ, ਕੋਰੀਆਈ, ਪੰਜਾਬੀ ਅਤੇ ਟਾਗਾਲੋਗ ਵਿੱਚ ਉਪਲਬਧ ਹੋਵੇਗੀ।"
"lib/components/disclaimer/disclaimer_component.js:37","Arrival Advisor respects and maintains the privacy and anonymity of its users. Users do not need to provide personal information in order to use the app. The questionnaire is designed to assist in personalizing services and resources required by the user, and answers are only saved to enhance the usability of the app over time. Users of the Arrival Advisor app do so at their own discretion. The answers you provide will be used for the operation of this tool to provide you with guidance on resources and services that can help you adjust to life in Canada. Users cannot be identified by their answers to the questionnaire. The information is not used by Immigration, Refugees and Citizenship Canada for any other purpose and is not used for any immigration decision making.","Arrival Advisor ਇਸ ਦੇ ਵਰਤੋਂਕਾਰਾਂ ਦੀ ਪਰਦੇਦਾਰੀ ਅਤੇ ਗੁਮਨਾਮੀ ਦਾ ਖ਼ਿਆਲ ਰੱਖਦੀ ਹੈ ਤੇ ਉਹਨਾਂ ਨੂੰ ਬਣਾਈ ਰੱਖਦੀ ਹੈ। ਵਰਤੋਂਕਾਰਾਂ ਨੂੰ ਐਪ ਵਰਤਣ ਲਈ ਕੋਈ ਵੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੇਣ ਦੀ ਲੋੜ ਨਹੀਂ ਹੈ। ਸਵਾਲਨਾਮੇ ਨੂੰ ਵਰਤੋਂਕਾਰ ਵਲੋਂ ਲੋੜੀਦੀਆਂ ਸੇਵਾਵਾਂ ਤੇ ਸਰੋਤਾਂ ਨੂੰ ਨਿੱਜੀ ਲੋੜ ਮੁਤਾਬਕ ਬਣਾਉਣ ਲਈ ਸਹਾਇਤਾ ਵਾਸਤੇ ਡਿਜ਼ਾਇਨ ਕੀਤਾ ਗਿਆ ਹੈ ਅਤੇ ਜਵਾਬਾਂ ਨੂੰ ਸਮੇਂ ਨਾਲ ਐਪ ਦੀ ਵਰਤੋਂ ਯੋਗਤਾ ਸੁਧਾਰਨ ਲਈ ਹੀ ਸੰਭਾਲਿਆ ਜਾਂਦਾ ਹੈ। Arrival Advisor ਦੇ ਵਰਤੋਂਕਾਰ ਆਪਣੇ ਖੁਦ ਦੀ ਮਰਜ਼ੀ ਨਾਲ ਅਜਿਹਾ ਕਰ ਸਕਦੇ ਹੋ। ਤੁਹਾਡੇ ਵਲੋਂ ਦਿੱਤੇ ਗਏ ਜਵਾਬਾਂ ਨੂੰ ਇਸ ਸਾਧਨ ਦੀ ਕਾਰਵਾਈ ਦੌਰਾਨ ਵਰਤਿਆ ਜਾਵੇਗਾ ਤਾਂ ਕਿ ਕੈਨੇਡਾ ਦੀ ਜ਼ਿੰਦਗੀ ਵਿੱਚ ਅਨੁਕੂਲ ਬਣਾਉਣ ਲਈ ਤੁਹਾਡੀ ਮਦਦ ਵਾਸਤੇ ਸਰੋਤਾਂ ਤੇ ਸੇਵਾਵਾਂ ਲਈ ਤੁਹਾਨੂੰ ਸੇਧ ਦਿੱਤੀ ਜਾ ਸਕੇ। ਵਰਤੋਂਕਾਰਾਂ ਨੂੰ ਸਵਾਲਨਾਮੇ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਦਿੱਤੇ ਜਵਾਬਾਂ ਰਾਹੀਂ ਪਛਾਣਿਆ ਨਹੀਂ ਜਾ ਸਕਦਾ ਹੈ। ਜਾਣਕਾਰੀ ਨੂੰ ਇੰਮੀਗਰੇਸ਼ਨ, ਰਿਫ਼ਿਊਜ਼ੀ ਅਤੇ ਸਿਟੀਜ਼ਨਸ਼ਿਪ ਕੈਨੇਡਾ ਵਲੋਂ ਕਿਸੇ ਵੀ ਹੋਰ ਮਕਸਦ ਨਹੀਂ ਨਹੀਂ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ ਅਤੇ ਨਾ ਹੀ ਕਿਸੇ ਵੀ ਇੰਮੀਗਰੇਸ਼ਨ ਫੈਸਲੇ ਲਈ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ।"
"lib/components/questionnaire/questionnaire_component.js:110","Back","ਅੱਗੇ"
