location,source,target
lib/components/about/about_component.js:19 lib/components/header_menu/header_menu_component.js:50,About Arrival Advisor,TO DO 1
lib/components/header_menu/header_menu_component.js:45,ABOUT THE APP,關於此應用程式
lib/components/services/service_list_item_component.js:27,Address:,地址：
lib/components/services/service_list_error_component.js:33,An error has occured.,TO DO 2
lib/components/about/about_component.js:49,and,TO DO 3 
lib/components/disclaimer/disclaimer_component.js:22,"and the BC211 database of service providers, available at:",TO DO 4
lib/components/recommended_topics/call_to_action.js:46,Answer a few questions about your situation to get personalized recommendations of topics and services to help you settle in British Columbia.,回答幾個有關您現況的問題，即可獲得您個人專屬的不列顛哥倫比亞省（BC省）定居的服務推薦清單。
lib/components/recommended_topics/call_to_action.js:55,Answer questions,回答問題
lib/components/disclaimer/disclaimer_component.js:18,"Arrival Advisor contains information from the BC Governmentâ€™s Newcomerâ€™s Guide, available at:",Arrival Advisor 的內容整合自不列顛哥倫比亞省（BC省）政府新移民指南（www. welcomebc.ca），以及BC211數據資料庫（www.bc211.ca）
lib/components/about/about_component.js:22,"Arrival Advisor is a free, multilingual, mobile app that helps immigrants and refugees in British Columbia, Canada find information and services to navigate their settlement journey. The app is currently available in English, French (Canadian), and Arabic. It will soon be available in Chinese Simplified, Chinese Traditional, Korean, Punjabi, and Tagalog.",Arrival Advisor 是一個免費的多語言手機應用程式，可協助加拿大不列顛哥倫比亞省（BC省）的移民和難民們，在安家定居過程中取得所需的相關資訊和服務。本應用程式目前提供英語，法語（加拿大）和阿拉伯語版本，並即將提供簡體中文、繁體中文、韓文、旁遮普文及他加祿文等版本。
lib/components/disclaimer/disclaimer_component.js:37,"Arrival Advisor respects and maintains the privacy and anonymity of its users. Users do not need to provide personal information in order to use the app. The questionnaire is designed to assist in personalizing services and resources required by the user, and answers are only saved to enhance the usability of the app over time. Users of the Arrival Advisor app do so at their own discretion. The answers you provide will be used for the operation of this tool to provide you with guidance on resources and services that can help you adjust to life in Canada. Users cannot be identified by their answers to the questionnaire. The information is not used by Immigration, Refugees and Citizenship Canada for any other purpose and is not used for any immigration decision making.","Arrival Advisor尊重並維護其用戶的隱私和匿名性，用戶無需提供個人資料即可使用本應用程式，調查問卷是為幫助系統客製化，以利針對不同用戶所需的服務和資源提供更好的服務，儲存之答案僅為增進應用程式的實用性。用戶可自行決定是否回答 Arrival Advisor所設計的問卷。 您提供的答案將用於此工具的操作，以及更精準地提供有助於您適應加拿大生活的資源和服務指引。程式並不會通過其對問卷所作的回答來識別用戶身份。加拿大移民，難民和公民部也不會將此資訊用於其他目的，或用於任何移民相關決定。"
lib/components/questionnaire/questionnaire_component.js:110,Back,返回
lib/components/recommended_topics/call_to_action.js:99,"Based on your answers, we recommend these topics for you:",根據您的回答，我們為您推薦以下主題：
lib/components/notifications/notification_content.js:7,Bookmark added,新增最愛
lib/components/notifications/notification_content.js:12,Bookmark removed,移除最愛
lib/components/help/help_component.js:33,Contact Arrival Advisor team,聯繫Arrival Advisor團隊
lib/components/about/about_component.js:56,Copyright 2018 Province of British Columbia. All rights reserved.,不列顛哥倫比亞省（BC省）2018 版權所有
lib/components/welcome/welcome_component.js:49,Created by,創建者
lib/components/help/help_component.js:87,Delete all user data,刪除所有用戶數據
lib/components/disclaimer/disclaimer_component.js:15 lib/components/header_menu/header_menu_component.js:51,Disclaimer,免責聲明
lib/components/questionnaire/questionnaire_component.js:117,Done,完成
lib/components/services/service_list_item_component.js:55,Email:,電子郵件
lib/components/explore/explore_detail_component.js:19,EXPLORE TOPICS,探索主題
lib/components/services/service_list_error_component.js:28,"Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy"".",TO DO 5
lib/components/services/service_list_component.js:53,FIND A SERVICE NEAR YOU,尋找就近服務
lib/components/help/help_component.js:71,Find a settlement agency near me,就近尋找一家安置機構
lib/components/topics/task_detail_content_component.js:103,Find related services near me,尋找就近相關服務處
lib/components/help/help_component.js:59,FOR ADDITIONAL ASSISTANCE,對於額外協助的需求
