"location","source","target"
"lib/components/header_menu/header_menu_component.js:45","ABOUT THE APP","نبذة عن التطبيق"
"lib/components/about/about_component.js:16 lib/components/header_menu/header_menu_component.js:50","About Arrival Advisor","نبذة عن Arrival Advisor"
"","Address:","العنوان:"
"lib/components/services/service_list_error_component.js:33","An error has occured.","An error has occured."
"lib/components/onboarding/onboarding_component.js:26 lib/components/recommended_topics/call_to_action.js:46","Answer a few questions about your situation to get personalized recommendations of topics and services to help you settle in British Columbia.","أجب عن بضع أسئلة تتعلق بموقفك كي تحصل على توصيات مخصصة بالموضوعات والخدمات التي تساعدك في الاستقرار في بريتيش كولومبيا."
"lib/components/recommended_topics/call_to_action.js:55","Answer questions","أجب عن الأسئلة"
"lib/components/disclaimer/disclaimer_component.js:15","Arrival Advisor contains information from the BC Government’s Newcomer’s Guide, available at <0>www.welcomebc.ca</0>, and the BC211 database of service providers, available at <1>www.bc211.ca</1>.","يحتوي تطبيق Arrival Advisor على معلومات من دليل القادمين الجدد الصادر عن حكومة بريتيش كولومبيا وهو متاح على الموقع: <0>www.welcomebc.ca</0>، وكذلك قاعدة بيانات BC211 لمزودي الخدمات المتاحة على الموقع: <1>www.bc211.ca</1>. "
"lib/components/about/about_component.js:19","Arrival Advisor is a free, multilingual, mobile app that helps immigrants and refugees in British Columbia, Canada find information and services to navigate their settlement journey. Arrival Advisor is offered in English, Arabic, Chinese Simplified, Chinese Traditional, French (Canadian), Korean, Punjabi, and Tagalog.","تطبيق Arrival Advisor هو تطبيق مجاني متعدد اللغات للأجهزة المحمولة يساعد المهاجرين واللاجئين في إقليم بريتيش كولومبيا في كندا على البحث عن المعلومات والخدمات التي توجههم في سعيهم نحو الاستقرار. تطبيق Arrival Advisor متوفر حاليا باللغات الإنكليزية والعربية والصينية المبسطة والصينية التقليدية والفرنسية (كندا) والكورية والبنجابية والتاغلوغية."
"lib/components/disclaimer/disclaimer_component.js:33","Arrival Advisor respects and maintains the privacy and anonymity of its users. Users do not need to provide personal information in order to use the app. The questionnaire is designed to assist in personalizing services and resources required by the user, and answers are only saved to enhance the usability of the app over time. Users of the Arrival Advisor app do so at their own discretion. The answers you provide will be used for the operation of this tool to provide you with guidance on resources and services that can help you adjust to life in Canada. Users cannot be identified by their answers to the questionnaire. The information is not used by Immigration, Refugees and Citizenship Canada for any other purpose and is not used for any immigration decision making.","يحترم تطبيق Arrival Advisor ويصون خصوصية المستخدمين وبياناتهم. لا يحتاج المستخدمين لتقديم معلومات شخصية كي يستخدموا التطبيق. صمم الاستبيان كي يساعد في تخصيص الخدمات والموارد التي يحتاجها المستخدم وتحفظ الإجابات فقط بغرض تحسين مستوى استخدام التطبيق بمرور الوقت. يفعل مستخدمو تطبيق Arrival Advisor ذلك بمحض إرادتهم. سوف تستخدم الإجابات التي تقدمها لتشغيل هذه الأداة لتقدم لك توجيهات تتعلق بالموارد والخدمات التي قد تساعدك في التأقلم داخل كندا. لا يمكن تحديد هوية المستخدمين باستخدام إجاباتهم على الاستبيان. لا تستخدم وزارة الهجرة واللاجئين والجنسية الكندية المعلومات لأي غرض آخر كما أنها لا تستخدم في اتخاذ أي قرار يتعلق بالهجرة."
"lib/components/onboarding/onboarding_component.js:112 lib/components/questionnaire/questionnaire_component.js:110","Back","رجوع"
"lib/components/recommended_topics/call_to_action.js:99","Based on your answers, we recommend these topics for you:","استنادا إلى إجاباتك، نوصي بهذه الموضوعات إليك:"
"lib/components/notifications/notification_content.js:7","Bookmark added","أضفنا العلامة المرجعية"
"lib/components/notifications/notification_content.js:12","Bookmark removed","محونا العلامة المرجعية"
"lib/components/help/help_component.js:33","Contact Arrival Advisor team","تواصل مع فريق Arrival Advisor"
"lib/components/welcome/welcome_component.js:49","Created by","صممته"
"lib/components/help/help_component.js:87","Delete all user data","مسح كافة بيانات المستخدم"
"lib/components/disclaimer/disclaimer_component.js:12 lib/components/header_menu/header_menu_component.js:51","Disclaimer","إخلاء مسؤولية"
"lib/components/questionnaire/questionnaire_component.js:117","Done","انتهى"
"lib/components/explore/explore_detail_component.js:19","EXPLORE TOPICS","تصفح الموضوعات"
"","Email:","البريد الإلكتروني:"
"","FIND A SERVICE NEAR YOU","ابحث عن خدمة بالقرب منك"
"lib/components/help/help_component.js:59","FOR ADDITIONAL ASSISTANCE","للمزيد من المساعدة."
"lib/components/services/service_list_error_component.js:28","Fetching your location timed out. On Android devices you may need to set your location mode to ""High accuracy"".","استغرق تحديد موقعك أكثر من اللازم. قد تحتاج إلى ضبط وضع تحديد الموقع إلى «دقة شديدة» على أجهزة أندرويد."
"lib/components/help/help_component.js:71","Find a settlement agency near me","ابحث عن وكالة استقرار قريبة من."
"lib/components/onboarding/onboarding_component.js:19","Find helpful services nearby",""
"lib/components/onboarding/onboarding_component.js:20","Find organizations that can help you settle into your new community.",""
"lib/components/topics/task_detail_content_component.js:103","Find related services near me","ابحث عن خدمات ذات صلة بالقرب مني"
"lib/components/about/about_component.js:26","From finding a job to learning English, accessing health care, and more, Arrival Advisor has everything you need to get started in your new community. Explore topics and services without ever needing to create an account. Access important information no matter where you are: the newcomer topics provided by Arrival Advisor are saved to your phone so you can view them, even without internet. You can fill out some questions to get personalized recommendations of topics and services to settle in British Columbia. Arrival Advisor is anonymous and your answers are only used to operate the app's recommendations. We never save or share your personal data with funders or any third parties.","سواء كنت تبحث عن وظيفة أو تعلم اللغة الإنكليزية أو الحصول على الرعاية الصحية وغيرها، يجمع تطبيق Arrival Advisor كل شيء تحتاج إليه كي تبدأ حياتك في مجتمعك الجديد. استكشف مواضيع وخدمات دون الحاجة لإنشاء حساب. أحصل على المعلومات الهامة بغض النظر عن مكانك منذ أن المواضيع الخاصة بالقادمين الجدد التي يقدمها تطبيق Arrival Advisor تحفظ على هاتفك حتى يمكنك استعراضها دون الحاجة للاتصال بالإنترنت. يمكنك أيضا الإجابة على بعض الأسئلة كي تحصل على توصيات مخصصة بالمواضيع والخدمات المتعلقة بالاستقرار في بريتش كولومبيا. تطبيق Arrival Advisor لا يسجل بياناتك أو يشاركها وستستخدم إجاباتك فقط في عرض توصيات التطبيق. نحن لا نحفظ أو نشارك مطلقا بياناتك الشخصية مع الجهات الممولة أو الغير."
"lib/components/recommended_topics/call_to_action.js:33","GETTING STARTED","بدء الاستخدام"
"lib/components/onboarding/onboarding_component.js:25 lib/components/recommended_topics/call_to_action.js:36","Get information based on your needs","أحصل على المعلومات استنادا إلى احتياجاتك"
"lib/components/onboarding/onboarding_component.js:13","Get trusted information",""
"lib/components/recommended_topics/call_to_action.js:74","Go back to questions","العودة إلى الأسئلة"
"lib/components/help/help_component.js:46","Help & Support","للمساعدة والدعم"
"lib/components/help/help_component.js:49","If you are having difficulty with settlement in Canada, we suggest getting in touch with a settlement worker.","لو كنت تواجه مصاعب في الاستقرار داخل كندا، نقترح عليك أن تتواصل مع موظف استقرار."
"lib/components/about/about_component.js:46","Information in this app is provided by the <0>Newcomers Guide to British Columbia</0> Copyright 2018 Province of British Columbia. All rights reserved.","قدم المعلومات المبينة في هذا التطبيق موقع <0>Newcomers Guide to British Columbia</0> حقوق الطبع 2018 ترجع إلى مقاطعة بريتيش كولومبيا. حقوق الطبع محفوظة."
"lib/components/help/help_component.js:24","Information on BC211","معلومات مقدمة على BC211"
"lib/components/help/help_component.js:19","Information on HealthLinkBC (8-1-1)","معلومات تتعلق بخدمات HealthLinkBC (811)"
"lib/components/help/help_component.js:14","Information on emergency services (9-1-1)","معلومات تتعلق بخدمات الطوارئ (911)"
"lib/components/help/help_component.js:29","Information on helplines","معلومات تتعلق بخطوط المساعدة على الهاتف"
"lib/components/onboarding/onboarding_component.js:14","Learn about employment, health care, and everything else to start your new life in British Columbia",""
